date,revenue,spend,clicks,impressions,conversions,budget,roas,ctr,cvr,cpc,cpm,revenue_lag_1,spend_lag_1,revenue_lag_3,spend_lag_3,revenue_lag_7,spend_lag_7,revenue_lag_14,spend_lag_14,revenue_lag_30,spend_lag_30,revenue_lag_60,spend_lag_60,revenue_roll_mean_3,revenue_roll_mean_7,revenue_roll_mean_14,revenue_roll_mean_30,revenue_roll_mean_60,revenue_roll_std_7,revenue_roll_std_14,revenue_roll_std_30,spend_roll_mean_7,spend_roll_mean_14,spend_roll_mean_30,revenue_growth,spend_growth,conversion_growth,click_growth,day_of_week,week_of_year,month,quarter,is_weekend,campaign_age,channel_share,budget_utilization,channel_revenue_share,spend_x_clicks,spend_x_conversions,ctr_x_cvr,roas_x_budget
2024-01-01,5290.066458225765,781.12868,2582.0,245651.0,48.577928,2021.9,6.772336739992397,0.010510846689001877,0.018814069713400466,0.30252853601859026,3.1798310611395846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5290.066458225765,5290.066458225765,5290.066458225765,5290.066458225765,5290.066458225765,0.0,0.0,0.0,781.12868,781.12868,781.12868,0.0,0.0,0.0,0.0,0,1,1,1,0,1,0.00046590721226102353,0.38633398288738313,0.00046590721226102353,2016874.2517600001,37945.612775775044,0.00019775180235374578,13692.987654590628
2024-01-02,4409.429305891986,842.414078,2617.0,237712.0,50.208078,2021.9,5.234277798823758,0.011009120280002692,0.019185356515093618,0.3219006794038976,3.543843297772094,5290.066458225765,781.12868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4849.747882058875,4849.747882058875,4849.747882058875,4849.747882058875,4849.747882058875,622.7045021800258,622.7045021800258,622.7045021800258,811.771379,811.771379,811.771379,-0.1664699601201487,0.07845749307271621,0.033557421386931185,0.01355538342370255,1,1,1,1,0,2,0.0003883476572162413,0.4166447786735249,0.0003883476572162413,2204597.642126,42295.99173652208,0.0002112138974893989,10583.186281441756
2024-01-03,4744.790847533148,1056.004152,3171.0,286371.0,59.344863999999994,2021.9,4.493155484802628,0.01107304859779796,0.018714873541469567,0.3330192847682119,3.687538724242329,4409.429305891986,842.414078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4814.762203883633,4814.762203883633,4814.762203883633,4814.762203883633,4814.762203883633,444.4687183028539,444.4687183028539,444.4687183028539,893.1823033333334,893.1823033333334,893.1823033333334,0.07605554333143383,0.25354523336918877,0.18197840594495562,0.21169277799006503,2,1,1,1,0,3,0.00041788364928731193,0.5222830763143578,0.00041788364928731193,3348589.165992,62668.42278387532,0.00020723070422633575,9084.711074722434
2024-01-04,6283.731032396553,1220.5816320000001,3250.0,321663.0,66.597348,1971.9,5.148144841488612,0.010103742115195095,0.02049149169230769,0.3755635790769231,3.7945975508529117,4744.790847533148,1056.004152,5290.066458225765,781.12868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5145.983728607229,5182.004411011863,5182.004411011863,5182.004411011863,5182.004411011863,819.2490356939763,819.2490356939763,819.2490356939763,975.0321355000001,975.0321355000001,975.0321355000001,0.32434310263928956,0.1558492735926289,0.12220912663983863,0.02491327656890574,3,1,1,1,0,4,0.0005534213286393874,0.6189875916628632,0.0005534213286393874,3966890.3040000005,81287.49970871194,0.00020704074761473964,10151.626812931396
2024-01-05,7447.201548617333,1197.553312,3290.0,324912.0,78.88842899999999,1971.9,6.218680599847343,0.010125818683212686,0.023978245896656532,0.3639979671732523,3.6857774166543553,6283.731032396553,1220.5816320000001,4409.429305891986,842.414078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6158.574476182344,5635.043838532957,5635.043838532957,5635.043838532957,5635.043838532957,1236.7701287253572,1236.7701287253572,1236.7701287253572,1019.5363708000001,1019.5363708000001,1019.5363708000001,0.1851560020984928,-0.018866677489048245,0.18455811483664464,0.012307692307692353,4,1,1,1,0,5,0.0006558906093262924,0.6073093524012374,0.0006558906093262924,3939950.39648,94473.09942742683,0.00024279937029103265,12262.616274838976
2024-01-06,7062.359590154985,1354.954728,3771.0,386665.0,43.639431,1971.9,5.212247645040865,0.009752628244087258,0.011572376292760542,0.35930912967382655,3.504208366415372,7447.201548617333,1197.553312,4744.790847533148,1056.004152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6931.097390389624,5872.929797136629,5872.929797136629,5872.929797136629,5872.929797136629,1250.2874296939065,1250.2874296939065,1250.2874296939065,1075.4394303333333,1075.4394303333333,1075.4394303333333,-0.05167604984906027,0.13143583206089438,-0.4468208892840291,0.1462006079027356,5,1,1,1,1,6,0.0006219967735032165,0.687131562452457,0.0006219967735032165,5109534.2792879995,59129.45336067977,0.00011286108388398226,10278.031131256083
2024-01-07,5019.122705001811,1412.22047,3642.0,371817.0,59.107307000000006,1971.9,3.5540645470192134,0.00979514115815038,0.01622935392641406,0.38775960186710595,3.798160035716495,7062.359590154985,1354.954728,6283.731032396553,1220.5816320000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6509.561281258043,5750.957355403082,5750.957355403082,5750.957355403082,5750.957355403082,1186.0957591355195,1186.0957591355195,1186.0957591355195,1123.5510074285714,1123.5510074285714,1123.5510074285714,-0.28931362939965155,0.04226395230527591,0.35444724290745233,-0.034208432776451914,6,1,1,1,1,7,0.0004420446294861279,0.7161724580353973,0.0004420446294861279,5143306.951739999,83472.5488719743,0.00015896881261480783,7008.259880267187
2024-01-08,4668.298692370062,1101.264447,2620.0,243224.0,56.426047999999994,1971.9,4.239035142818937,0.010771963293096076,0.02153665954198473,0.4203299416030534,4.527778701937309,5019.122705001811,1412.22047,7447.201548617333,1197.553312,5290.066458225765,781.12868,0.0,0.0,0.0,0.0,0.0,0.0,5583.2603291756195,5662.133388852269,5615.6250225239555,5615.6250225239555,5615.6250225239555,1248.0278029313808,1162.9132111761378,1162.9132111761378,1169.2846884285714,1120.765187375,1120.765187375,-0.06989747676065672,-0.22018943189514872,-0.04536256405658967,-0.2806150466776497,0,2,1,1,0,8,0.00041114682526944814,0.5584788513616309,0.00041114682526944814,2885312.85114,62140.00054711545,0.00023199210604216687,8358.953398124662
2024-01-09,4268.055670575837,805.476669,2306.0,209610.0,63.109716000000006,1971.9,5.298794905971183,0.01100138352177854,0.02736761318300087,0.349296040329575,3.8427397023042795,4668.298692370062,1101.264447,7062.359590154985,1354.954728,4409.429305891986,842.414078,0.0,0.0,0.0,0.0,0.0,0.0,4651.825689315903,5641.937155235675,5465.89509452972,5465.89509452972,5465.89509452972,1272.5807329662666,1176.8996162253716,1176.8996162253716,1164.0079157142857,1085.7331297777778,1085.7331297777778,-0.08573637810459467,-0.2685892374041201,0.11845004633321143,-0.1198473282442748,1,2,1,1,0,9,0.000375896585601643,0.40847744256808155,0.000375896585601643,1857429.198714,50833.40382521601,0.0003010816087018749,10448.693675084576
2024-01-10,6072.721976232238,840.431431,2342.0,210424.0,81.958082,1971.9,7.225719734216174,0.011129909135840018,0.034994911187019646,0.3588520200683177,3.9939903765730143,4268.055670575837,805.476669,5019.122705001811,1412.22047,4744.790847533148,1056.004152,0.0,0.0,0.0,0.0,0.0,0.0,5003.025446392712,5831.64160219269,5526.577782699972,5526.577782699972,5526.577782699972,1214.1910857104046,1126.0627884256494,1126.0627884256494,1133.2118127142858,1061.2029599,1061.2029599,0.4228310136856579,0.043396368070345526,0.29866028869469163,0.015611448395490113,2,2,1,1,0,10,0.0005348373199325633,0.42620388001419945,0.0005348373199325633,1968290.4114019999,68880.14813727535,0.00038949018172832004,14248.396743900874
