date,channel,campaign_id,campaign_name,campaign_type,revenue,spend,clicks,impressions,conversions,budget
2024-05-25,bing,566560838,Search_TM_Campaign_02,Search,48.07440787150151,4.7,22.0,140.0,0.0,10.0
2024-05-26,bing,566560838,Search_TM_Campaign_02,Search,43.98296890371416,4.300000000000001,14.0,120.0,0.0,10.0
2024-05-27,bing,566560838,Search_TM_Campaign_02,Search,45.10811461985568,4.41,18.0,149.0,0.0,10.0
2024-05-28,bing,566560838,Search_TM_Campaign_02,Search,26.696639264812543,2.61,8.0,135.0,0.0,10.0
2024-05-29,bing,566560838,Search_TM_Campaign_02,Search,26.185209393839123,2.56,10.0,145.0,0.0,10.0
2024-05-30,bing,566560838,Search_TM_Campaign_02,Search,26.59435329061786,2.6,10.0,203.0,0.0,10.0
2024-05-31,bing,566560838,Search_TM_Campaign_02,Search,70.06589232335858,6.85,18.0,410.0,0.0,10.0
2024-06-01,bing,566560838,Search_TM_Campaign_02,Search,303.58477140982234,29.68,61.0,1808.0,0.0,10.0
2024-06-02,bing,566560838,Search_TM_Campaign_02,Search,261.64752199000185,25.58,59.0,2141.0,0.0,10.0
2024-06-03,bing,566560838,Search_TM_Campaign_02,Search,556.6402715674708,54.42,111.0,4898.0,0.0,10.0
2024-06-04,bing,566560838,Search_TM_Campaign_02,Search,810.718631467066,79.26,149.0,5952.0,0.0,10.0
2024-06-05,bing,566560838,Search_TM_Campaign_02,Search,873.9313635193807,85.44,175.0,7202.0,0.0,10.0
2024-06-06,bing,566560838,Search_TM_Campaign_02,Search,982.6613540883299,96.07,188.0,7704.0,0.0,10.0
2024-06-07,bing,566560838,Search_TM_Campaign_02,Search,1129.9531569286748,110.47,212.0,7637.0,0.0,10.0
2024-06-08,bing,566560838,Search_TM_Campaign_02,Search,1046.7946599083969,102.34,208.0,7109.0,0.0,10.0
2024-06-09,bing,566560838,Search_TM_Campaign_02,Search,1098.4490768767123,107.39,198.0,6805.0,0.0,10.0
2024-06-10,bing,566560838,Search_TM_Campaign_02,Search,1018.1545871338853,99.54,204.0,9164.0,0.0,10.0
2024-06-11,bing,566560838,Search_TM_Campaign_02,Search,1311.4084751500445,128.21,230.0,8722.0,0.0,10.0
2024-06-12,bing,566560838,Search_TM_Campaign_02,Search,1267.834650143109,123.95,226.0,9640.0,0.0,10.0
2024-06-13,bing,566560838,Search_TM_Campaign_02,Search,1122.5885667866578,109.75,210.0,10290.0,0.0,10.0
2024-06-14,bing,566560838,Search_TM_Campaign_02,Search,1340.8668357181136,131.09,250.0,10719.0,0.0,10.0
2024-06-15,bing,566560838,Search_TM_Campaign_02,Search,1225.1813989039258,119.78,236.0,9956.0,0.0,10.0
2024-06-16,bing,566560838,Search_TM_Campaign_02,Search,1523.958729526598,148.99,273.0,9536.0,0.0,10.0
2024-06-17,bing,566560838,Search_TM_Campaign_02,Search,1357.846307434431,132.75,254.0,11542.0,0.0,10.0
2024-06-18,bing,566560838,Search_TM_Campaign_02,Search,1353.652582492449,132.34,267.0,11187.0,0.0,10.0
2024-06-19,bing,566560838,Search_TM_Campaign_02,Search,1412.4670176543923,138.09,261.0,11064.0,0.0,10.0
2024-06-20,bing,566560838,Search_TM_Campaign_02,Search,1399.0675550348888,136.78,275.0,11811.0,0.0,10.0
2024-06-21,bing,566560838,Search_TM_Campaign_02,Search,1211.7819362844223,118.47,229.0,11650.0,0.0,10.0
2024-06-22,bing,566560838,Search_TM_Campaign_02,Search,1257.2991948010567,122.92,237.0,11911.0,0.0,10.0
2024-06-23,bing,566560838,Search_TM_Campaign_02,Search,1235.8191402201728,120.82,238.0,10158.0,0.0,10.0
2024-06-24,bing,566560838,Search_TM_Campaign_02,Search,1171.4812624517167,114.53,234.0,10693.0,0.0,10.0
2024-06-25,bing,566560838,Search_TM_Campaign_02,Search,1197.257327948777,117.05,226.0,11377.0,0.0,10.0
2024-06-26,bing,566560838,Search_TM_Campaign_02,Search,1542.370204881641,150.79,290.0,12100.0,0.0,10.0
2024-06-27,bing,566560838,Search_TM_Campaign_02,Search,1524.8793032943504,149.08,283.0,12040.0,0.0,10.0
2024-06-28,bing,566560838,Search_TM_Campaign_02,Search,1071.7524376118997,104.78,209.0,8684.0,0.0,10.0
2024-06-29,bing,566560838,Search_TM_Campaign_02,Search,1424.0253327383916,139.22,280.0,11077.0,0.0,10.0
2024-06-30,bing,566560838,Search_TM_Campaign_02,Search,2108.011642178244,206.09,369.0,13765.0,0.0,10.0
2024-07-01,bing,566560838,Search_TM_Campaign_02,Search,1657.4419258506607,162.04,345.0,14535.0,0.0,10.0
2024-07-02,bing,566560838,Search_TM_Campaign_02,Search,1663.9882281991206,162.68,327.0,15355.0,0.0,10.0
2024-07-03,bing,566560838,Search_TM_Campaign_02,Search,1156.6497961934874,113.08,240.0,12473.0,0.0,10.0
2024-07-04,bing,566560838,Search_TM_Campaign_02,Search,1121.7702789931002,109.67,211.0,9907.0,0.0,10.0
2024-07-05,bing,566560838,Search_TM_Campaign_02,Search,2649.718161513291,259.05,447.0,13872.0,0.0,10.0
2024-07-06,bing,566560838,Search_TM_Campaign_02,Search,1069.2975742312274,104.54,243.0,10723.0,0.0,10.0
2024-07-07,bing,566560838,Search_TM_Campaign_02,Search,1358.3577373054045,132.8,276.0,11171.0,0.0,10.0
2024-07-08,bing,566560838,Search_TM_Campaign_02,Search,1457.4728463000533,142.49,303.0,12900.0,0.0,10.0
2024-07-09,bing,566560838,Search_TM_Campaign_02,Search,1287.575843162683,125.88,276.0,12856.0,0.0,10.0
2024-07-10,bing,566560838,Search_TM_Campaign_02,Search,1429.0373454739313,139.71,290.0,12524.0,0.0,10.0
2024-07-11,bing,566560838,Search_TM_Campaign_02,Search,1571.9308514239049,153.68,299.0,13405.0,0.0,10.0
2024-07-12,bing,566560838,Search_TM_Campaign_02,Search,1281.7455426335862,125.31,268.0,12720.0,0.0,10.0
2024-07-13,bing,566560838,Search_TM_Campaign_02,Search,1057.5346871988386,103.39,225.0,10126.0,0.0,10.0
2024-07-14,bing,566560838,Search_TM_Campaign_02,Search,1127.4982935480025,110.23,231.0,10296.0,0.0,10.0
2024-07-15,bing,566560838,Search_TM_Campaign_02,Search,1348.2314258601307,131.81,284.0,11972.0,0.0,10.0
2024-07-16,bing,566560838,Search_TM_Campaign_02,Search,1117.9856979478968,109.3,259.0,11739.0,0.0,10.0
2024-07-17,bing,566560838,Search_TM_Campaign_02,Search,1242.8768724396061,121.51,283.0,11134.0,0.0,10.0
2024-07-18,bing,566560838,Search_TM_Campaign_02,Search,1295.8610070724526,126.69,268.0,12964.0,0.0,10.0
2024-07-19,bing,566560838,Search_TM_Campaign_02,Search,1503.2969627392717,146.97,304.0,13215.0,0.0,10.0
2024-07-20,bing,566560838,Search_TM_Campaign_02,Search,1424.6390485835598,139.28,303.0,11985.0,0.0,10.0
2024-07-21,bing,566560838,Search_TM_Campaign_02,Search,1220.1693861683864,119.29,265.0,12048.0,0.0,10.0
2024-07-22,bing,566560838,Search_TM_Campaign_02,Search,1631.0521445084323,159.46,330.0,15065.0,0.0,10.0
2024-07-23,bing,566560838,Search_TM_Campaign_02,Search,1724.0300950514002,168.55,361.0,15673.0,0.0,10.0
2024-07-24,bing,566560838,Search_TM_Campaign_02,Search,1643.6333193343783,160.69,337.0,15651.0,0.0,10.0
2024-07-25,bing,566560838,Search_TM_Campaign_02,Search,1596.5817712048238,156.09,340.0,16207.0,0.0,10.0
2024-07-26,bing,566560838,Search_TM_Campaign_02,Search,1587.4783195014968,155.2,336.0,15709.0,0.0,10.0
2024-07-27,bing,566560838,Search_TM_Campaign_02,Search,1228.6591220265452,120.12,258.0,13273.0,0.0,10.0
2024-07-28,bing,566560838,Search_TM_Campaign_02,Search,1333.297673627707,130.35,290.0,12194.0,0.0,10.0
2024-07-29,bing,566560838,Search_TM_Campaign_02,Search,1573.2605690884357,153.81,345.0,15046.0,0.0,10.0
2024-07-30,bing,566560838,Search_TM_Campaign_02,Search,1752.0564519807433,171.29,359.0,15129.0,0.0,10.0
2024-07-31,bing,566560838,Search_TM_Campaign_02,Search,1849.023555517304,180.77,367.0,14742.0,0.0,10.0
2024-08-01,bing,566560838,Search_TM_Campaign_02,Search,1689.457435773597,165.17000000000002,341.0,15130.0,0.0,10.0
2024-08-02,bing,566560838,Search_TM_Campaign_02,Search,1804.4268707684216,176.41,367.0,15681.0,0.0,10.0
2024-08-03,bing,566560838,Search_TM_Campaign_02,Search,1351.6068630085551,132.14,277.0,12896.0,0.0,10.0
2024-08-04,bing,566560838,Search_TM_Campaign_02,Search,1381.4743674734032,135.06,285.0,13153.0,0.0,10.0
2024-08-05,bing,566560838,Search_TM_Campaign_02,Search,1809.438883503961,176.89999999999998,358.0,15510.0,0.0,10.0
2024-08-06,bing,566560838,Search_TM_Campaign_02,Search,1950.4912419184307,190.69,394.0,15815.0,0.0,10.0
